donation_id,donor_type,food_type,quantity,unit,latitude,longitude,vegetarian,vegan,perishability,hours_until_expiry,pickup_required
D0125,event,fruits,80.0,kg,26.852819,75.81276,1,1,medium,30.0,1
D0126,household,vegetables,100.0,kg,26.816881,75.845563,1,1,medium,18.0,1
D0127,hotel,bakery,20.0,meals,26.897704,75.813637,1,0,high,3.0,1
D0128,event,fruits,25.0,kg,26.914243,75.774511,1,1,medium,30.0,1
D0129,caterer,cooked_meal,200.0,meals,26.916771,75.786999,1,1,high,3.0,1
D0130,caterer,fruits,60.0,kg,26.925118,75.819712,1,1,medium,24.0,1
D0131,caterer,bakery,20.0,meals,26.858773,75.804481,1,0,high,4.0,1
D0132,restaurant,vegetables,150.0,kg,26.90567,75.72283,1,1,medium,30.0,1
D0133,household,vegetables,15.0,kg,26.851813,75.807048,1,1,medium,12.0,1
D0134,hotel,vegetables,150.0,kg,26.814417,75.85132,1,1,medium,6.0,1
D0135,restaurant,fruits,60.0,kg,26.898245,75.81508,1,1,medium,24.0,1
D0136,household,packaged_food,50.0,meals,26.89992,75.773729,1,0,low,72.0,1
D0137,institution,cooked_meal,200.0,meals,26.909416,75.777287,0,1,high,1.0,1
D0138,event,vegetables,150.0,kg,26.91285,75.814172,1,1,medium,24.0,1
D0139,household,vegetables,25.0,kg,26.845189,75.809964,1,1,medium,30.0,1
D0140,restaurant,cooked_meal,100.0,meals,26.921688,75.723579,1,1,high,4.0,1
D0141,household,bakery,200.0,meals,26.839657,75.798177,1,1,high,2.0,1
D0142,hotel,bakery,150.0,meals,26.818392,75.835911,1,1,high,4.0,1
D0143,restaurant,vegetables,25.0,kg,26.921393,75.819001,1,1,medium,24.0,1
D0144,event,vegetables,60.0,kg,26.909303,75.768017,1,1,medium,12.0,1
D0145,restaurant,bakery,120.0,meals,26.927475,75.773706,1,1,high,1.0,1
D0146,event,packaged_food,150.0,meals,26.920442,75.805133,1,0,low,48.0,1
D0147,institution,bakery,150.0,meals,26.862631,75.799558,1,1,high,1.0,1
D0148,household,fruits,100.0,kg,26.925354,75.732436,1,1,medium,24.0,1
D0149,event,fruits,25.0,kg,26.831648,75.789812,1,1,medium,6.0,1
D0150,restaurant,cooked_meal,200.0,meals,26.834414,75.851462,1,0,high,2.0,1
D0151,hotel,fruits,40.0,kg,26.900104,75.812356,1,1,medium,24.0,1
D0152,household,packaged_food,50.0,meals,26.906904,75.765801,1,0,low,48.0,1
D0153,event,packaged_food,200.0,meals,26.924427,75.791654,1,0,low,48.0,1
D0154,event,cooked_meal,200.0,meals,26.924073,75.805229,0,0,high,3.0,1
D0155,institution,fruits,100.0,kg,26.86794,75.825827,1,1,medium,24.0,1
D0156,hotel,packaged_food,150.0,meals,26.905595,75.749359,1,0,low,96.0,1
D0157,restaurant,fruits,100.0,kg,26.842852,75.800373,1,1,medium,18.0,1
D0158,institution,fruits,15.0,kg,26.834401,75.84775,1,1,medium,30.0,1
D0159,household,bakery,200.0,meals,26.914826,75.845725,1,0,high,3.0,1
D0160,institution,packaged_food,100.0,meals,26.924992,75.75878,1,0,low,48.0,1
D0161,caterer,vegetables,15.0,kg,26.917146,75.780351,1,1,medium,30.0,1
D0162,hotel,fruits,40.0,kg,26.927136,75.791792,1,1,medium,24.0,1
D0163,caterer,fruits,80.0,kg,26.843796,75.818515,1,1,medium,30.0,1
D0164,institution,vegetables,150.0,kg,26.924418,75.727961,1,1,medium,18.0,1
D0165,hotel,vegetables,15.0,kg,26.858713,75.816559,1,1,medium,12.0,1
D0166,caterer,vegetables,150.0,kg,26.83058,75.850148,1,1,medium,30.0,1
D0167,event,fruits,80.0,kg,26.892513,75.824666,1,1,medium,6.0,1
D0168,institution,fruits,80.0,kg,26.910938,75.778057,1,1,medium,24.0,1
D0169,household,packaged_food,200.0,meals,26.92668,75.773055,1,1,low,24.0,1
D0170,institution,vegetables,100.0,kg,26.910563,75.790813,1,1,medium,18.0,1
D0171,hotel,cooked_meal,100.0,meals,26.850526,75.795005,0,0,high,4.0,1
D0172,event,vegetables,40.0,kg,26.92626,75.723548,1,1,medium,30.0,1
D0173,event,vegetables,100.0,kg,26.849533,75.813737,1,1,medium,6.0,1
D0174,hotel,fruits,15.0,kg,26.822651,75.857956,1,1,medium,18.0,1
D0175,household,fruits,15.0,kg,26.903964,75.844886,1,1,medium,18.0,1
D0176,event,cooked_meal,150.0,meals,26.928228,75.774268,0,0,high,3.0,1
D0177,hotel,bakery,20.0,meals,26.899157,75.776829,1,1,high,1.0,1
D0178,hotel,packaged_food,30.0,meals,26.935454,75.817138,1,0,low,48.0,1
D0179,hotel,bakery,20.0,meals,26.84794,75.795288,1,0,high,3.0,1
D0180,hotel,cooked_meal,20.0,meals,26.915004,75.747658,0,1,high,2.0,1
D0181,institution,fruits,15.0,kg,26.849582,75.787898,1,1,medium,12.0,1
D0182,event,cooked_meal,200.0,meals,26.816337,75.827959,1,0,high,4.0,1
D0183,event,cooked_meal,100.0,meals,26.905924,75.844699,0,0,high,4.0,1
D0184,caterer,cooked_meal,200.0,meals,26.926464,75.766318,0,0,high,4.0,1
D0185,household,fruits,80.0,kg,26.915912,75.771503,1,1,medium,30.0,1
D0186,restaurant,bakery,100.0,meals,26.926481,75.802368,1,1,high,4.0,1
D0187,hotel,bakery,75.0,meals,26.863006,75.794083,1,1,high,4.0,1
D0188,caterer,vegetables,60.0,kg,26.910905,75.748709,1,1,medium,6.0,1
D0189,restaurant,fruits,25.0,kg,26.844325,75.811502,1,1,medium,24.0,1
D0190,hotel,vegetables,15.0,kg,26.805642,75.826932,1,1,medium,18.0,1
D0191,caterer,bakery,120.0,meals,26.907628,75.831645,1,1,high,1.0,1
D0192,caterer,vegetables,150.0,kg,26.927317,75.785045,1,1,medium,6.0,1
D0193,hotel,bakery,75.0,meals,26.915657,75.781904,1,1,high,2.0,1
D0194,household,bakery,120.0,meals,26.930863,75.801248,1,1,high,1.0,1
D0195,restaurant,bakery,20.0,meals,26.844619,75.805523,1,1,high,6.0,1
D0196,restaurant,fruits,40.0,kg,26.903335,75.744173,1,1,medium,18.0,1
D0197,institution,vegetables,15.0,kg,26.836367,75.792532,1,1,medium,12.0,1
D0198,event,bakery,75.0,meals,26.823219,75.824943,1,1,high,4.0,1
D0199,household,fruits,150.0,kg,26.90064,75.823774,1,1,medium,30.0,1
D0200,event,packaged_food,20.0,meals,26.901739,75.752727,1,1,low,24.0,1
D0201,hotel,vegetables,60.0,kg,26.917652,75.786778,1,1,medium,18.0,1
D0202,institution,vegetables,15.0,kg,26.927868,75.792653,1,1,medium,18.0,1
D0203,event,fruits,15.0,kg,26.859289,75.807614,1,1,medium,12.0,1
D0204,caterer,packaged_food,100.0,meals,26.929412,75.720607,1,0,low,48.0,1
D0205,hotel,vegetables,100.0,kg,26.839871,75.791686,1,1,medium,24.0,1
D0206,institution,packaged_food,120.0,meals,26.806874,75.843184,1,1,low,24.0,1
D0207,institution,cooked_meal,120.0,meals,26.890956,75.810997,1,1,high,6.0,1
D0208,hotel,vegetables,15.0,kg,26.919745,75.761344,1,1,medium,18.0,1
D0209,restaurant,fruits,15.0,kg,26.922173,75.791596,1,1,medium,24.0,1
D0210,institution,bakery,30.0,meals,26.911275,75.809933,1,1,high,4.0,1
D0211,caterer,packaged_food,30.0,meals,26.848295,75.802032,1,0,low,24.0,1
D0212,caterer,packaged_food,75.0,meals,26.908871,75.753466,1,0,low,24.0,1
D0213,institution,cooked_meal,50.0,meals,26.836882,75.809222,1,1,high,4.0,1
D0214,event,bakery,120.0,meals,26.832656,75.844344,1,0,high,3.0,1
D0215,household,fruits,150.0,kg,26.891798,75.826398,1,1,medium,18.0,1
D0216,restaurant,fruits,60.0,kg,26.900806,75.769267,1,1,medium,24.0,1
D0217,household,cooked_meal,30.0,meals,26.898029,75.799364,1,1,high,6.0,1
D0218,household,cooked_meal,200.0,meals,26.921362,75.817315,0,1,high,6.0,1
D0219,household,cooked_meal,200.0,meals,26.85271,75.795408,1,0,high,1.0,1
D0220,household,vegetables,60.0,kg,26.918439,75.720038,1,1,medium,30.0,1
D0221,caterer,fruits,60.0,kg,26.850261,75.800553,1,1,medium,24.0,1
D0222,restaurant,fruits,15.0,kg,26.824702,75.825732,1,1,medium,18.0,1
D0223,hotel,fruits,100.0,kg,26.90768,75.824374,1,1,medium,30.0,1
D0224,hotel,packaged_food,120.0,meals,26.909796,75.772009,1,1,low,72.0,1
D0225,institution,fruits,80.0,kg,26.915482,75.803231,1,1,medium,24.0,1
D0226,restaurant,bakery,30.0,meals,26.929059,75.818092,1,1,high,4.0,1
D0227,hotel,packaged_food,120.0,meals,26.849044,75.796477,1,0,low,96.0,1
D0228,household,fruits,150.0,kg,26.929915,75.72425,1,1,medium,6.0,1
D0229,household,bakery,20.0,meals,26.855485,75.817682,1,0,high,3.0,1
D0230,event,bakery,50.0,meals,26.814902,75.829726,1,0,high,4.0,1
D0231,institution,vegetables,80.0,kg,26.901399,75.836486,1,1,medium,18.0,1
D0232,caterer,packaged_food,100.0,meals,26.924404,75.759325,1,0,low,96.0,1
D0233,event,vegetables,60.0,kg,26.918183,75.789861,1,1,medium,18.0,1
D0234,restaurant,packaged_food,75.0,meals,26.919694,75.803741,1,1,low,48.0,1
D0235,caterer,bakery,30.0,meals,26.858079,75.8217,1,0,high,6.0,1
D0236,event,vegetables,80.0,kg,26.900204,75.724445,1,1,medium,12.0,1
D0237,event,vegetables,40.0,kg,26.833458,75.820422,1,1,medium,6.0,1
D0238,hotel,packaged_food,150.0,meals,26.804411,75.842073,1,1,low,24.0,1
D0239,hotel,fruits,150.0,kg,26.890498,75.844169,1,1,medium,12.0,1
D0240,institution,vegetables,100.0,kg,26.900226,75.784182,1,1,medium,12.0,1
D0241,household,cooked_meal,20.0,meals,26.911398,75.791495,0,0,high,3.0,1
D0242,hotel,vegetables,15.0,kg,26.933878,75.81066,1,1,medium,18.0,1
D0243,event,vegetables,100.0,kg,26.847051,75.79166,1,1,medium,30.0,1
D0244,restaurant,vegetables,80.0,kg,26.899521,75.749046,1,1,medium,30.0,1
D0245,household,packaged_food,100.0,meals,26.85098,75.808228,1,0,low,96.0,1
D0246,household,packaged_food,30.0,meals,26.814126,75.844568,1,0,low,72.0,1
D0247,restaurant,bakery,20.0,meals,26.90723,75.838917,1,1,high,4.0,1
D0248,caterer,fruits,100.0,kg,26.9196,75.786497,1,1,medium,6.0,1
D0249,household,cooked_meal,120.0,meals,26.921757,75.781655,0,1,high,2.0,1
D0250,institution,vegetables,100.0,kg,26.914364,75.811894,1,1,medium,24.0,1
D0251,hotel,vegetables,15.0,kg,26.843196,75.794826,1,1,medium,18.0,1
D0252,caterer,cooked_meal,120.0,meals,26.898905,75.725869,1,1,high,3.0,1
D0253,institution,fruits,40.0,kg,26.831671,75.81084,1,1,medium,6.0,1
D0254,institution,fruits,60.0,kg,26.813449,75.828353,1,1,medium,24.0,1
D0255,institution,fruits,25.0,kg,26.903846,75.845102,1,1,medium,24.0,1
D0256,restaurant,bakery,100.0,meals,26.91512,75.784433,1,1,high,1.0,1
D0257,restaurant,packaged_food,100.0,meals,26.910149,75.805307,1,0,low,72.0,1
D0258,hotel,vegetables,80.0,kg,26.914019,75.799267,1,1,medium,24.0,1
D0259,institution,cooked_meal,120.0,meals,26.859655,75.802703,1,1,high,6.0,1
D0260,hotel,cooked_meal,150.0,meals,26.929268,75.753091,0,0,high,3.0,1
D0261,restaurant,vegetables,15.0,kg,26.858008,75.811974,1,1,medium,12.0,1
D0262,restaurant,fruits,60.0,kg,26.810338,75.847275,1,1,medium,30.0,1
D0263,restaurant,fruits,40.0,kg,26.909208,75.835012,1,1,medium,24.0,1
D0264,hotel,vegetables,40.0,kg,26.917597,75.770072,1,1,medium,18.0,1
D0265,caterer,packaged_food,200.0,meals,26.927336,75.770057,1,0,low,96.0,1
D0266,restaurant,packaged_food,100.0,meals,26.928518,75.814122,1,0,low,96.0,1
D0267,institution,packaged_food,200.0,meals,26.841686,75.792616,1,1,low,24.0,1
D0268,institution,bakery,100.0,meals,26.908752,75.720976,1,0,high,3.0,1
D0269,hotel,packaged_food,120.0,meals,26.853497,75.812778,1,0,low,48.0,1
D0270,household,vegetables,15.0,kg,26.828372,75.832433,1,1,medium,18.0,1
D0271,restaurant,bakery,50.0,meals,26.908144,75.827315,1,0,high,6.0,1
D0272,event,vegetables,80.0,kg,26.909015,75.787171,1,1,medium,24.0,1
D0273,event,fruits,100.0,kg,26.922887,75.771797,1,1,medium,6.0,1
D0274,household,packaged_food,50.0,meals,26.918492,75.807331,1,1,low,48.0,1
D0275,caterer,cooked_meal,50.0,meals,26.86682,75.791938,0,0,high,3.0,1
D0276,hotel,bakery,100.0,meals,26.9278,75.726815,1,1,high,1.0,1
D0277,household,packaged_food,100.0,meals,26.85108,75.807348,1,0,low,24.0,1
D0278,restaurant,bakery,120.0,meals,26.833222,75.829433,1,0,high,6.0,1
D0279,household,bakery,100.0,meals,26.892218,75.844813,1,1,high,2.0,1
D0280,hotel,bakery,100.0,meals,26.919708,75.768929,1,1,high,3.0,1
D0281,institution,fruits,60.0,kg,26.922282,75.794028,1,1,medium,6.0,1
D0282,caterer,vegetables,60.0,kg,26.905327,75.804503,1,1,medium,12.0,1
D0283,event,fruits,100.0,kg,26.856959,75.801287,1,1,medium,18.0,1
D0284,event,bakery,30.0,meals,26.901725,75.732091,1,0,high,3.0,1
D0285,event,packaged_food,30.0,meals,26.834457,75.803668,1,1,low,24.0,1
D0286,hotel,packaged_food,120.0,meals,26.830711,75.839025,1,0,low,72.0,1
D0287,restaurant,vegetables,40.0,kg,26.905744,75.829036,1,1,medium,24.0,1
D0288,household,vegetables,25.0,kg,26.901904,75.765117,1,1,medium,12.0,1
D0289,caterer,vegetables,80.0,kg,26.907629,75.770952,1,1,medium,24.0,1
D0290,institution,vegetables,25.0,kg,26.92079,75.819328,1,1,medium,18.0,1
D0291,household,cooked_meal,150.0,meals,26.849147,75.804583,0,1,high,1.0,1
D0292,caterer,vegetables,150.0,kg,26.906844,75.732666,1,1,medium,30.0,1
D0293,event,bakery,30.0,meals,26.857251,75.80998,1,0,high,2.0,1
D0294,household,bakery,120.0,meals,26.814788,75.859691,1,0,high,2.0,1
D0295,household,cooked_meal,20.0,meals,26.906096,75.828503,1,1,high,2.0,1
D0296,hotel,bakery,50.0,meals,26.913805,75.772865,1,1,high,3.0,1
D0297,household,fruits,80.0,kg,26.908928,75.791537,1,1,medium,18.0,1
D0298,caterer,bakery,100.0,meals,26.930247,75.807876,1,0,high,4.0,1
D0299,institution,vegetables,80.0,kg,26.848027,75.793908,1,1,medium,18.0,1
D0300,institution,bakery,200.0,meals,26.925768,75.741501,1,0,high,3.0,1
D0301,restaurant,cooked_meal,60.0,meals,26.9,75.8,1,0,high,3.0,1
